lat	lon	title	description	icon	iconsize	iconoffset
51.732532	0.4733020	The Ivory Peg	Not Visited	no_visit.png	24,24	0,0
51.647324	0.0553210	The Last Post	Not Visited	no_visit.png	24,24	0,0
51.569346	0.4562590	The Moon on the Square	Not Visited	no_visit.png	24,24	0,0
51.594121	0.0851380	The New Fairlop Oak	Not Visited	no_visit.png	24,24	0,0
51.877172	0.5535620	The Picture Palace	Not Visited	no_visit.png	24,24	0,0
51.887618	0.8969160	The Playhouse	Not Visited	no_visit.png	24,24	0,0
51.584894	0.6035150	The Roebuck	Not Visited	no_visit.png	24,24	0,0
52.022184	0.2391060	The Temeraire	Not Visited	no_visit.png	24,24	0,0
51.771172	0.0920270	The William Aylmer	Not Visited	no_visit.png	24,24	0,0
51.890528	0.2607480	The Windmill	Not Visited	no_visit.png	24,24	0,0
51.884915	0.2476640	Wetherspoon Express	Not Visited	no_visit.png	24,24	0,0
51.900895	-2.075858	The Bank House	Not Visited	no_visit.png	24,24	0,0
51.861708	-2.253147	The Lord High Constable of England	Not Visited	no_visit.png	24,24	0,0
51.744793	-2.218125	The Lord John	Not Visited	no_visit.png	24,24	0,0
51.897521	-2.072483	The Moon Under Water	Not Visited	no_visit.png	24,24	0,0
51.865810	-2.242722	The Regal	Not Visited	no_visit.png	24,24	0,0
51.991955	-2.158586	The Royal Hop Pole	Not Visited	no_visit.png	24,24	0,0
53.591450	-2.298262	The Art Picture House	Not Visited	no_visit.png	24,24	0,0
53.461185	-2.289116	The Bishop Blaize	Not Visited	no_visit.png	24,24	0,0
53.556931	-2.634421	The Brocket Arms	Not Visited	no_visit.png	24,24	0,0
53.524026	-2.399606	The Bull’s Head Hotel	Not Visited	no_visit.png	24,24	0,0
53.408019	-2.220421	The Gateway	Not Visited	no_visit.png	24,24	0,0
53.545905	-2.631714	The Moon Under Water	Not Visited	no_visit.png	24,24	0,0
53.548867	-2.522385	The Robert Shaw	Not Visited	no_visit.png	24,24	0,0
53.577836	-2.093059	The Shay Wake	Not Visited	no_visit.png	24,24	0,0
53.577473	-2.426830	The Spinning Mule	Not Visited	no_visit.png	24,24	0,0
50.8969765	-1.3939462	The Admiral Sir Lucius Curtis	Not Visited	no_visit.png	24,24	0,0
51.265567	-1.085469	The Angel	Not Visited	no_visit.png	24,24	0,0
50.919801	-1.430436	The Bright Water Inn	Not Visited	no_visit.png	24,24	0,0
50.852333	-1.176949	The Crown Inn	Not Visited	no_visit.png	24,24	0,0
50.880772	-1.030626	The Denmead Queen	Not Visited	no_visit.png	24,24	0,0
50.844878	-1.067159	The First Post	Not Visited	no_visit.png	24,24	0,0
50.911025	-1.404486	The Giddy Bridge	Not Visited	no_visit.png	24,24	0,0
50.797034	-1.092599	The Isambard Kingdom Brunel	Not Visited	no_visit.png	24,24	0,0
51.146559	-0.978074	The Ivy House	Not Visited	no_visit.png	24,24	0,0
50.798321	-1.076790	The John Jacques	Not Visited	no_visit.png	24,24	0,0
51.206874	-1.478963	The John Russell Fox	Not Visited	no_visit.png	24,24	0,0
50.852480	-1.181306	The Lord Arthur Lee	Not Visited	no_visit.png	24,24	0,0
50.784198	-1.088961	The Lord Palmerston	Not Visited	no_visit.png	24,24	0,0
51.262356	-1.087566	The Maidenhead Inn	Not Visited	no_visit.png	24,24	0,0
51.063820	-1.316288	The Old Gaolhouse	Not Visited	no_visit.png	24,24	0,0
50.851920	-0.984590	The Parchment Makers	Not Visited	no_visit.png	24,24	0,0
51.278858	-0.845027	The Prince Arthur	Not Visited	no_visit.png	24,24	0,0
51.249835	-0.767638	The Queen Hotel	Not Visited	no_visit.png	24,24	0,0
51.003835	-0.934238	The Red Lion	Not Visited	no_visit.png	24,24	0,0
